-2.35599,-2.01547,0.279547,-0.580541,1.17121,0.484279
-2.35599,-2.01547,0.279547,-0.580541,1.17125,0.484254
-2.356,-2.01547,0.279559,-0.580517,1.17123,0.484279
-2.35599,-2.01549,0.279535,-0.580553,1.1712,0.484303
-2.35603,-2.01547,0.279523,-0.580529,1.17123,0.484279
-2.35596,-2.01549,0.279535,-0.580517,1.17125,0.484267
-2.35601,-2.01547,0.279486,-0.580565,1.17121,0.484243
-2.356,-2.01546,0.27951,-0.580529,1.17124,0.484279
-2.35596,-2.01546,0.279474,-0.580541,1.17124,0.484279
-2.35602,-2.01547,0.279486,-0.580505,1.17121,0.484279
-2.35603,-2.01543,0.279498,-0.580505,1.17124,0.484254
-2.35605,-2.01549,0.279486,-0.580504,1.17126,0.484267
-2.35602,-2.01547,0.279426,-0.58048,1.17124,0.484279
-2.35603,-2.01549,0.279414,-0.580504,1.17124,0.484291
-2.35603,-2.01547,0.27939,-0.580456,1.17125,0.484243
-2.35606,-2.01547,0.279402,-0.580467,1.17125,0.484254
-2.35603,-2.01549,0.279402,-0.580455,1.17123,0.484279
-2.35602,-2.0155,0.279342,-0.580455,1.17124,0.484279
-2.35602,-2.01547,0.279366,-0.580419,1.17124,0.484303
-2.35606,-2.01546,0.279318,-0.580384,1.17124,0.484231
-2.35605,-2.01547,0.27933,-0.580359,1.17125,0.484254
-2.35606,-2.0155,0.279306,-0.580396,1.17125,0.484267
-2.35605,-2.01548,0.279282,-0.580348,1.17127,0.484267
-2.35605,-2.01546,0.279246,-0.580372,1.17126,0.484267
-2.35603,-2.01546,0.279246,-0.580372,1.17127,0.484267
-2.35606,-2.01546,0.279246,-0.580348,1.17124,0.484279
-2.35608,-2.01548,0.279233,-0.580336,1.17126,0.484279
-2.35605,-2.01547,0.279209,-0.580313,1.17121,0.484267
-2.35607,-2.01549,0.279174,-0.580313,1.17127,0.484254
-2.35608,-2.01546,0.27915,-0.580313,1.17125,0.484267
-2.35603,-2.01543,0.279137,-0.580301,1.17127,0.484267
-2.35607,-2.01547,0.279125,-0.580277,1.17125,0.484267
-2.35608,-2.01544,0.279125,-0.580289,1.17127,0.484267
-2.35606,-2.01547,0.279053,-0.580289,1.17126,0.484243
-2.35605,-2.01546,0.279089,-0.580253,1.17127,0.484243
-2.35606,-2.01546,0.279065,-0.580289,1.17129,0.484267
-2.35606,-2.01544,0.279005,-0.580277,1.17127,0.484267
-2.35607,-2.01546,0.278981,-0.580229,1.17129,0.484254
